DATE,FPCPITOTLZGUSA
2022-01-01,8.002799821
2021-01-01,4.697858864
2020-01-01,1.233584396
2019-01-01,1.812210075
2018-01-01,2.442583297
2017-01-01,2.130110004
2016-01-01,1.261583206
2015-01-01,0.118627136
2014-01-01,1.622222977
2013-01-01,1.464832656
2012-01-01,2.069337265
2011-01-01,3.156841569
2010-01-01,1.640043442
2009-01-01,-0.355546266
2008-01-01,3.839100297
2007-01-01,2.852672482
2006-01-01,3.225944101
2005-01-01,3.392746845
2004-01-01,2.677236693
2003-01-01,2.270094973
2002-01-01,1.586031627
2001-01-01,2.826171119
2000-01-01,3.376857271
1999-01-01,2.188027197
1998-01-01,1.552279099
1997-01-01,2.337689937
1996-01-01,2.9312042
1995-01-01,2.805419689
1994-01-01,2.607441592
1993-01-01,2.951656966
1992-01-01,3.028819678
1991-01-01,4.234963965
1990-01-01,5.39795644
1989-01-01,4.82700303
1988-01-01,4.077741107
1987-01-01,3.664563218
1986-01-01,1.898047722
1985-01-01,3.545644152
1984-01-01,4.300535475
1983-01-01,3.212435233
1982-01-01,6.131427
1981-01-01,10.33471534
1980-01-01,13.54920197
1979-01-01,11.25447113
1978-01-01,7.630963839
1977-01-01,6.501683995
1976-01-01,5.744812635
1975-01-01,9.143146865
1974-01-01,11.0548048
1973-01-01,6.177760064
1972-01-01,3.272278247
1971-01-01,4.292766688
1970-01-01,5.838255338
1969-01-01,5.4623862
1968-01-01,4.271796153
1967-01-01,2.772785623
1966-01-01,3.015075377
1965-01-01,1.585169264
1964-01-01,1.278911565
1963-01-01,1.239669421
1962-01-01,1.198773348
1961-01-01,1.070724148
1960-01-01,1.457975986
